,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Arminia,23,331,100,30.2,9.7,2.9,0.1,0.2,18.5,14,1,2,32.9,31.3,0.1,-9.9,-9.3
1,Augsburg,35,332,108,32.5,9.8,3.2,0.1,0.3,18.1,10,2,5,37.3,33.4,0.1,-2.3,-0.4
2,Bayern Munich,98,572,219,38.3,16.8,6.4,0.2,0.4,16.9,9,9,10,75.9,68.1,0.1,22.1,20.9
3,Dortmund,74,488,184,37.7,14.4,5.4,0.2,0.4,16.7,14,3,7,66.2,60.4,0.1,7.8,10.6
4,Eint Frankfurt,63,442,162,36.7,13.0,4.8,0.1,0.3,16.3,12,8,8,58.5,52.2,0.1,4.5,2.8
5,Freiburg,51,383,140,36.6,11.3,4.1,0.1,0.3,17.3,17,6,6,45.5,40.9,0.1,5.5,4.1
6,Gladbach,63,443,165,37.2,13.0,4.8,0.1,0.3,17.4,12,10,11,54.9,46.5,0.1,8.1,6.5
7,Hertha BSC,40,377,142,37.7,11.1,4.2,0.1,0.2,18.4,12,4,6,41.9,37.2,0.1,-1.9,-1.2
8,Hoffenheim,51,424,149,35.1,12.5,4.4,0.1,0.3,17.5,20,5,6,51.9,47.3,0.1,-0.9,-1.3
9,Köln,33,354,103,29.1,10.4,3.0,0.1,0.3,17.2,9,4,6,40.5,35.9,0.1,-7.5,-6.9
10,Leverkusen,52,440,164,37.3,12.9,4.8,0.1,0.3,17.9,12,3,3,46.3,44.0,0.1,5.7,5.0
11,Mainz 05,39,374,134,35.8,11.0,3.9,0.1,0.2,17.4,10,5,5,49.9,46.0,0.1,-10.9,-12.0
12,RB Leipzig,59,533,189,35.5,15.7,5.6,0.1,0.3,17.4,19,8,10,64.4,56.7,0.1,-5.4,-5.7
13,Schalke 04,24,301,81,26.9,8.8,2.4,0.1,0.3,18.4,11,0,3,28.7,26.3,0.1,-4.7,-2.3
14,Stuttgart,54,448,150,33.5,13.2,4.4,0.1,0.3,17.7,12,6,8,51.4,45.1,0.1,2.6,2.9
15,Union Berlin,50,391,132,33.8,11.5,3.9,0.1,0.3,17.3,8,5,7,46.9,41.3,0.1,3.1,3.7
16,Werder Bremen,35,356,120,33.7,10.5,3.5,0.1,0.2,19.0,14,5,5,32.9,29.0,0.1,2.1,1.0
17,Wolfsburg,57,475,164,34.5,14.0,4.8,0.1,0.3,18.1,14,2,3,49.0,46.9,0.1,8.0,8.1
