,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Alavés,35,339,95,28.0,8.92,2.5,0.09,0.32,17.4,12,5,8,42.6,36.4,0.11,-7.6,-6.4
1,Athletic Club,43,399,128,32.1,10.5,3.37,0.1,0.3,17.4,15,4,5,43.1,39.2,0.1,-0.1,-0.2
2,Atlético Madrid,65,452,178,39.4,11.89,4.68,0.13,0.34,17.6,13,5,7,52.8,47.2,0.11,12.2,12.8
3,Barcelona,80,575,231,40.2,15.13,6.08,0.13,0.33,17.1,43,4,8,73.5,67.1,0.12,6.5,8.9
4,Betis,50,432,145,33.6,11.37,3.82,0.1,0.29,18.9,16,8,11,49.1,40.5,0.1,0.9,1.5
5,Cádiz,33,299,97,32.4,7.87,2.55,0.1,0.3,17.6,14,4,4,34.7,31.6,0.11,-1.7,-2.6
6,Celta Vigo,55,350,133,38.0,9.21,3.5,0.14,0.36,17.0,13,7,7,50.4,44.9,0.13,4.6,3.1
7,Eibar,29,443,127,28.7,11.66,3.34,0.06,0.2,18.1,14,4,9,45.2,38.3,0.09,-16.2,-13.3
8,Elche,33,265,86,32.5,6.97,2.26,0.12,0.36,16.8,12,2,3,29.9,27.5,0.11,3.1,3.5
9,Getafe,27,355,97,27.3,9.34,2.55,0.07,0.25,18.8,24,3,5,34.4,30.5,0.09,-7.4,-6.5
10,Granada,47,354,121,34.2,9.32,3.18,0.12,0.36,19.1,21,3,5,41.1,37.3,0.11,5.9,6.7
11,Huesca,32,404,130,32.2,10.63,3.42,0.07,0.22,18.0,13,3,4,38.9,36.1,0.09,-6.9,-7.1
12,Levante,45,376,125,33.2,9.89,3.29,0.11,0.34,18.2,10,3,6,40.4,35.7,0.1,4.6,6.3
13,Osasuna,36,368,114,31.0,9.68,3.0,0.08,0.27,18.8,7,5,6,38.7,34.7,0.1,-2.7,-3.7
14,Real Madrid,64,544,167,30.7,14.32,4.39,0.11,0.37,17.7,17,3,3,61.5,59.2,0.11,2.5,1.8
15,Real Sociedad,58,417,139,33.3,10.97,3.66,0.12,0.35,16.5,20,9,12,60.7,51.5,0.13,-2.7,-2.5
16,Sevilla,52,454,135,29.7,11.95,3.55,0.1,0.34,17.2,15,6,7,54.4,48.9,0.11,-2.4,-2.9
17,Valencia,48,383,129,33.7,10.08,3.39,0.1,0.31,20.1,32,8,10,42.6,34.8,0.09,5.4,5.2
18,Valladolid,34,359,110,30.6,9.45,2.89,0.08,0.25,18.7,25,7,8,40.1,33.8,0.1,-6.1,-6.8
19,Villarreal,57,392,146,37.2,10.32,3.84,0.11,0.31,17.0,13,12,13,56.4,46.4,0.12,0.6,-1.4
