,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,América (MG),41,569,157,27.6,14.97,4.13,0.06,0.22,20.3,17,6,9,56.1,49.1,0.09,-15.1,-14.1
1,Ath Paranaense,41,506,137,27.1,13.32,3.61,0.08,0.28,20.1,32,2,2,41.8,40.2,0.08,-0.8,-1.2
2,Atl Goianiense,32,401,108,26.9,10.55,2.84,0.07,0.26,19.7,19,4,4,37.0,33.9,0.09,-5.0,-5.9
3,Atlético Mineiro,67,527,173,32.8,13.87,4.55,0.11,0.33,20.4,31,10,11,57.8,49.3,0.09,9.2,7.7
4,Bahia,42,466,144,30.9,12.26,3.79,0.08,0.26,19.2,21,4,5,45.6,41.7,0.09,-3.6,-3.7
5,Ceará,38,507,161,31.8,13.34,4.24,0.07,0.22,19.2,25,3,4,47.9,44.9,0.09,-9.9,-9.9
6,Chapecoense,26,399,115,28.8,10.5,3.03,0.06,0.19,19.3,15,4,5,39.5,35.8,0.09,-13.5,-13.8
7,Corinthians,39,406,139,34.2,10.68,3.66,0.08,0.24,18.7,19,5,6,40.2,35.5,0.09,-1.2,-1.5
8,Cuiabá,32,413,124,30.0,10.87,3.26,0.07,0.23,20.3,9,4,4,36.6,33.4,0.08,-4.6,-5.4
9,Flamengo,67,578,224,38.8,15.21,5.89,0.11,0.29,19.0,24,3,4,66.5,63.4,0.11,0.5,0.6
10,Fluminense,37,411,137,33.3,10.82,3.61,0.08,0.24,19.0,21,4,5,44.3,40.4,0.1,-7.3,-7.4
11,Fortaleza,43,533,172,32.3,14.03,4.53,0.07,0.23,21.1,25,4,7,50.6,44.9,0.09,-7.6,-5.9
12,Grêmio,43,549,169,30.8,14.45,4.45,0.07,0.24,20.6,26,3,7,50.5,45.1,0.08,-7.5,-5.1
13,Internacional,43,458,160,34.9,12.05,4.21,0.08,0.23,19.2,20,6,6,50.6,45.9,0.1,-7.6,-8.9
14,Juventude,34,410,124,30.2,10.79,3.26,0.07,0.23,20.5,26,5,6,37.5,33.1,0.08,-3.5,-4.1
15,Palmeiras,54,544,177,32.5,14.32,4.66,0.09,0.28,19.3,29,4,5,56.3,52.8,0.1,-2.3,-2.8
16,Red Bull Bragantino,53,500,160,32.0,13.16,4.21,0.1,0.32,20.2,24,2,4,47.2,44.1,0.09,5.8,6.9
17,Santos,34,462,136,29.4,12.16,3.58,0.06,0.21,21.0,35,6,8,44.7,38.5,0.08,-10.7,-10.5
18,São Paulo,30,447,148,33.1,11.76,3.89,0.06,0.18,18.7,16,4,4,45.5,42.4,0.1,-15.5,-16.4
19,Sport Recife,24,462,132,28.6,12.16,3.47,0.05,0.16,21.2,25,3,4,39.8,36.7,0.08,-15.8,-15.7
