,Squad,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Arsenal,540,311,261,195,84,244,500,48.8,256,386,123,263,296,836,658,20
1,Aston Villa,634,382,300,259,75,300,649,46.2,349,453,140,313,339,973,693,13
2,Brentford,607,342,299,228,80,291,616,47.2,325,383,113,270,393,1000,863,7
3,Brighton,668,403,306,257,105,243,563,43.2,320,480,150,330,358,1026,723,12
4,Burnley,590,324,273,235,82,250,534,46.8,284,509,211,298,410,1000,887,18
5,Chelsea,621,348,267,269,85,257,567,45.3,310,408,96,312,347,968,641,15
6,Crystal Palace,637,374,323,236,78,273,575,47.5,302,452,135,317,333,970,761,5
7,Everton,705,402,369,252,84,336,735,45.7,399,496,140,356,365,1070,815,15
8,Leeds United,787,437,396,298,93,408,886,46.0,478,473,143,330,395,1182,621,15
9,Leicester City,690,384,336,270,84,306,720,42.5,414,469,146,323,367,1057,777,15
10,Liverpool,554,320,207,240,107,233,576,40.5,343,359,74,285,340,894,523,8
11,Manchester City,498,284,183,214,101,227,509,44.6,282,267,55,212,279,777,403,7
12,Manchester Utd,585,358,320,197,68,265,608,43.6,343,404,133,271,340,925,704,20
13,Newcastle Utd,659,383,334,266,59,304,641,47.4,337,420,162,258,360,1019,776,14
14,Norwich City,614,368,322,242,50,297,714,41.6,417,450,180,270,381,995,860,14
15,Southampton,602,340,285,243,74,248,581,42.7,333,430,132,298,446,1048,795,13
16,Tottenham,598,349,286,244,68,262,584,44.9,322,470,161,309,355,953,793,15
17,Watford,614,356,341,213,60,278,626,44.4,348,440,148,292,444,1058,899,19
18,West Ham,534,301,273,199,62,240,557,43.1,317,420,175,245,374,908,781,5
19,Wolves,673,377,377,242,54,273,671,40.7,398,437,135,302,389,1062,820,20
