,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Arminia,26,361,109,30.2,10.6,3.2,0.1,0.2,19.7,10,2,2,26.3,24.7,0.1,-0.3,-0.7
1,Augsburg,39,362,117,32.3,10.6,3.4,0.1,0.3,17.8,11,5,5,36.7,32.8,0.1,2.3,1.2
2,Bayern Munich,92,668,255,38.2,19.6,7.5,0.1,0.3,16.7,12,5,5,89.0,85.1,0.1,3.0,1.9
3,Bochum,37,409,136,33.3,12.0,4.0,0.1,0.2,18.2,17,4,6,40.6,35.9,0.1,-3.6,-2.9
4,Dortmund,81,442,165,37.3,13.0,4.8,0.2,0.4,16.7,20,11,11,64.0,55.9,0.1,17.0,14.1
5,Eint Frankfurt,43,446,136,30.5,13.1,4.0,0.1,0.3,17.8,14,1,2,41.6,40.1,0.1,1.4,1.9
6,Freiburg,55,457,153,33.5,13.4,4.5,0.1,0.3,16.7,20,5,6,50.4,45.7,0.1,4.6,4.3
7,Gladbach,54,489,174,35.6,14.4,5.1,0.1,0.3,16.8,13,5,7,56.2,50.6,0.1,-2.2,-1.6
8,Greuther Fürth,26,309,96,31.1,9.1,2.8,0.1,0.2,18.2,13,5,5,30.0,26.2,0.1,-4.0,-5.2
9,Hertha BSC,35,365,119,32.6,10.7,3.5,0.1,0.3,17.5,15,3,3,33.3,30.9,0.1,1.7,1.1
10,Hoffenheim,55,452,150,33.2,13.3,4.4,0.1,0.4,15.1,13,0,0,58.3,58.3,0.1,-3.3,-3.3
11,Köln,52,467,149,31.9,13.7,4.4,0.1,0.3,16.3,9,1,1,50.1,49.3,0.1,1.9,1.7
12,Leverkusen,76,453,184,40.6,13.3,5.4,0.2,0.4,16.4,11,2,6,62.6,57.8,0.1,13.4,16.2
13,Mainz 05,49,465,151,32.5,13.7,4.4,0.1,0.3,17.6,22,4,4,50.4,47.2,0.1,-1.4,-2.2
14,RB Leipzig,72,429,169,39.4,12.6,5.0,0.2,0.4,16.3,18,8,9,64.5,58.4,0.1,7.5,5.6
15,Stuttgart,40,449,153,34.1,13.2,4.5,0.1,0.2,17.5,10,1,3,43.7,41.4,0.1,-3.7,-2.4
16,Union Berlin,50,408,149,36.5,12.0,4.4,0.1,0.3,16.2,7,5,5,47.0,43.3,0.1,3.0,1.7
17,Wolfsburg,42,416,137,32.9,12.2,4.0,0.1,0.3,17.9,19,3,4,47.7,44.9,0.1,-5.7,-5.9
