,Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,América (MG),3,40,2,1,6,1,45.4,0.24,6.4,0.17
1,Ath Paranaense,2,48,3,2,10,1,52.3,0.29,5.3,0.14
2,Atl Goianiense,4,57,3,1,10,2,56.5,0.28,1.5,0.04
3,Atlético Mineiro,2,37,6,0,2,0,37.7,0.26,0.7,0.02
4,Avaí,3,60,8,1,12,1,59.1,0.29,0.1,0.0
5,Botafogo (RJ),4,43,4,1,5,1,47.5,0.31,5.5,0.14
6,Ceará,3,41,5,0,5,0,46.1,0.24,5.1,0.13
7,Corinthians,3,36,6,0,8,1,39.9,0.22,4.9,0.13
8,Coritiba,3,60,4,2,9,1,63.0,0.31,4.0,0.11
9,Cuiabá,2,42,4,0,2,1,56.4,0.31,15.4,0.4
10,Flamengo,3,39,5,2,4,1,37.9,0.24,-0.1,0.0
11,Fluminense,1,41,3,1,7,1,45.6,0.29,5.6,0.15
12,Fortaleza,3,39,4,1,3,2,46.6,0.26,9.6,0.25
13,Goiás,1,53,7,0,4,0,54.2,0.24,1.2,0.03
14,Internacional,2,31,4,2,9,0,42.0,0.28,11.0,0.29
15,Juventude,3,69,6,1,7,3,58.2,0.25,-7.8,-0.2
16,Palmeiras,3,27,3,2,3,2,32.2,0.24,7.2,0.19
17,Red Bull Bragantino,2,59,9,1,4,2,56.5,0.28,-0.5,-0.01
18,Santos,2,41,6,0,2,1,45.5,0.23,5.5,0.15
19,São Paulo,3,42,6,0,6,0,48.3,0.27,6.3,0.17
