,Squad,# Pl,Age,Poss,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
0,Atalanta,27,26.5,49.9,64,42,106,58,6,8,83,3,57.7,51.3,42.7,93.9,687,1637
1,Bologna,27,26.6,54.7,52,41,93,46,6,6,84,3,43.8,39.4,31.5,70.9,564,1366
2,Cremonese,33,26.0,42.1,35,18,53,30,5,7,81,3,38.7,33.2,24.3,57.5,521,1107
3,Empoli,32,25.3,47.3,35,20,55,33,2,2,88,7,38.8,37.2,26.8,64.0,608,1114
4,Fiorentina,30,26.5,56.1,51,37,88,47,4,6,93,3,55.0,50.8,40.2,91.0,789,1627
5,Hellas Verona,36,26.6,41.2,29,22,51,28,1,1,103,3,35.8,35.1,28.1,63.2,503,1063
6,Inter,25,28.8,55.7,68,50,118,64,4,5,65,3,68.0,64.5,51.8,116.3,668,1624
7,Juventus,29,27.7,49.6,56,41,97,53,3,6,74,6,55.3,50.4,39.8,90.2,673,1394
8,Lazio,24,28.6,52.1,59,37,96,53,6,8,87,2,51.1,44.9,34.3,79.2,683,1381
9,Lecce,29,24.8,41.3,31,21,52,27,4,6,86,2,36.1,31.4,25.3,56.7,515,1232
10,Milan,30,26.0,55.6,61,49,110,56,5,5,90,2,58.8,55.1,46.0,101.1,795,1584
11,Monza,31,26.6,55.2,46,31,77,41,5,6,90,4,45.9,41.2,33.8,75.0,708,1362
12,Napoli,27,26.4,61.8,75,57,132,67,8,10,47,1,64.7,56.8,46.8,103.6,907,1804
13,Roma,30,27.4,48.6,50,33,83,43,7,10,83,4,57.4,49.9,38.9,88.8,684,1217
14,Salernitana,30,27.2,44.9,46,34,80,44,2,2,85,4,36.7,35.2,26.9,62.0,519,1089
15,Sampdoria,40,27.9,46.1,23,18,41,22,1,2,108,3,34.1,32.5,24.4,56.9,466,1126
16,Sassuolo,31,26.1,49.2,46,30,76,37,9,10,90,6,51.6,43.9,36.1,80.0,761,1565
17,Spezia,34,25.7,47.4,29,18,47,25,4,4,103,6,41.5,38.5,29.3,67.8,553,1163
18,Torino,28,25.2,53.2,41,34,75,39,2,2,81,0,41.8,40.2,35.0,75.2,684,1328
19,Udinese,30,26.1,48.0,46,41,87,45,1,2,88,3,46.9,45.4,37.8,83.2,646,1354
