,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Almería,49,439,155,35.3,11.6,4.1,0.1,0.3,18.1,21,2,3,45.5,43.2,0.1,3.5,3.8
1,Athletic Club,46,541,157,29.0,14.2,4.1,0.1,0.3,17.1,13,5,7,54.2,48.7,0.1,-8.2,-7.7
2,Atlético Madrid,68,538,195,36.2,14.2,5.1,0.1,0.3,17.0,9,1,1,61.9,61.1,0.1,6.1,5.9
3,Barcelona,69,570,187,32.8,15.0,4.9,0.1,0.4,15.8,20,0,2,75.5,74.0,0.1,-6.5,-5.0
4,Betis,43,411,138,33.6,10.8,3.6,0.1,0.2,18.1,21,8,9,51.3,44.3,0.1,-8.3,-9.3
5,Cádiz,29,390,108,27.7,10.3,2.8,0.1,0.2,18.2,12,4,5,41.5,37.7,0.1,-12.5,-12.7
6,Celta Vigo,41,470,160,34.0,12.4,4.2,0.1,0.2,19.0,19,2,3,42.6,40.3,0.1,-1.6,-1.3
7,Elche,30,400,124,31.0,10.5,3.3,0.1,0.2,16.9,10,4,5,37.5,33.6,0.1,-7.5,-7.6
8,Espanyol,51,417,151,36.2,11.0,4.0,0.1,0.3,17.3,13,5,5,48.3,44.4,0.1,2.7,1.6
9,Getafe,34,365,116,31.8,9.6,3.0,0.1,0.2,18.0,19,5,8,36.7,30.4,0.1,-2.7,-1.4
10,Girona,55,446,160,35.9,11.7,4.2,0.1,0.3,17.2,6,8,9,50.6,43.8,0.1,4.4,3.2
11,Mallorca,36,324,107,33.0,8.5,2.8,0.1,0.3,17.4,8,4,5,35.2,31.1,0.1,0.8,0.9
12,Osasuna,36,441,133,30.2,11.6,3.5,0.1,0.2,18.7,7,4,5,39.8,35.9,0.1,-3.8,-3.9
13,Rayo Vallecano,41,510,146,28.6,13.4,3.8,0.1,0.2,20.6,24,4,8,43.9,37.8,0.1,-2.9,-0.8
14,Real Madrid,73,634,206,32.5,16.7,5.4,0.1,0.3,18.6,32,9,12,75.5,66.1,0.1,-2.5,-2.1
15,Real Sociedad,47,465,173,37.2,12.2,4.6,0.1,0.3,17.4,15,2,4,52.9,49.7,0.1,-5.9,-4.7
16,Sevilla,47,463,141,30.5,12.2,3.7,0.1,0.3,18.1,17,4,5,46.3,42.4,0.1,0.7,0.6
17,Valencia,40,480,140,29.2,12.6,3.7,0.1,0.2,17.5,18,5,8,49.3,43.0,0.1,-9.3,-8.0
18,Valladolid,32,443,137,30.9,11.7,3.6,0.1,0.2,19.6,19,3,4,38.5,35.4,0.1,-6.5,-6.4
19,Villarreal,57,499,188,37.7,13.1,5.0,0.1,0.3,18.0,22,4,7,61.6,56.1,0.1,-4.6,-3.1
